smiles,Delta_epsilon
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,7.001489162445068
CC(C)C1=CCC(=O)C1,6.100792407989502
C[C@]12CCC[C@H](C1)C2,9.54847526550293
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,7.986541748046875
C#CC1(CO)CCCC1,8.33212661743164
N=CN1C(=O)NCC1[NH-],6.277666568756104
N=C(NC=O)[C@H](O)CO,6.215080738067627
CC(=O)[C@H]1C[C@H]1CC#N,6.253176689147949
C[C@H]1C[C@]1(C)CCO,9.178400039672852
C#C[C@@H]1C[C@@H]1CC,7.918513298034668
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,7.728034019470215
O=C1CCC1,6.046370029449463
CCCC[C@]12C[C@H]1CO2,8.438250541687012
C#C[C@@H]1OC[C@@H]1OCC,7.453198432922363
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,7.162036895751953
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,7.902186393737793
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,8.09538745880127
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,6.402839183807373
CC[C@H]1O[C@H]1C(C)=O,6.054533004760742
Cc1nc2cocc2o1,5.371527671813965
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,4.775598526000977
CCCCC(=O)C=O,4.236812591552734
C#CC[C@H](C)C[C@H]1CO1,8.476346969604492
C[C@]12N[C@H]1C(=O)C[C@H]2O,5.904870510101318
CO[C@H]1OC[C@@H](C)[C@H]1C,9.064112663269045
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,7.635515213012695
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,7.366122245788574
CN1C[C@H]2C[C@H](C2)C1=O,7.287209033966064
N#C[C@@]12C=CCC[N@@H+]1C2,6.337531566619873
C#CC[C@]1(O)C[C@H]2O[C@H]21,7.866811275482178
c1cc([C@H]2CO2)[nH]n1,6.729375839233398
[NH-][CH+]O[C@]1(CO)C[C@H]1O,7.513063907623291
COC[C@@H](C)[C@H]1C[C@H]1C,9.164794921875
CC(=O)[C@H]1CO[C@H](C)O1,6.057254314422607
CO[C@@H](C)[C@H]1C[C@@H](C)O1,8.879075050354004
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,6.481751918792725
C[C@@]1(C#N)OC[C@@]12CO2,7.779735088348389
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,5.450440406799316
C[C@H]1CC[C@@]12O[C@H]2CO,8.778392791748047
C#CC[C@@H]1CC[C@@H]1C=O,6.059975624084473
C#CCC[N@H+](C)CC=O,5.545680046081543
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,8.830094337463379
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,7.9266767501831055
C#C[C@@H](C=O)OC1CC1,5.877659320831299
C#Cc1cc(C)c(C)o1,5.162000179290772
Cc1ccc(N2CC2)o1,6.03548526763916
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,7.640957355499268
C[C@@H]1C[C@]1(C)[C@@H](C)CO,9.091323852539062
C#C[C@H](OC)C(=O)CC,5.687179565429688
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,6.832778930664063
CC[C@@H](O)CC(=O)NC,7.412381172180176
C#CC(=O)[C@@H](C)[NH+](C)C,4.351100444793701
CC(C)[C@@H](C=O)C(N)=O,5.659968376159668
Cc1cnc(NC=O)[nH]1,5.251797676086426
CC(=O)C[C@@]1(C)C[N@@H+]1C,5.798746109008789
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,8.196069717407227
C#C[C@H](C)[C@H]1O[C@H]1CO,8.351174354553223
C[C@H]1CO[C@H](C(N)=O)C1,7.219180583953857
O[C@@H]1/C=C\C=C/C/C=C\1,6.17426347732544
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,6.998768329620361
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,8.334847450256348
CC(C)C1=CC[C@H]2N[C@@H]12,6.713048934936523
N#C[C@@H]1C[C@@]1(N)C#N,7.50762128829956
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,8.269539833068848
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,5.942966461181641
Cc1ccc(O)c(O)n1,5.406902313232422
OCC[NH+]1CC2(CO2)C1,7.673610687255859
O=CC[C@@]12C[C@@H](N1)C2=O,6.185148239135742
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,7.064075946807861
c1ncn(C[C@H]2CN2)n1,7.303536415100098
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,6.149773120880127
C1OC[C@]23O[C@H]2C[C@@H]3O1,9.012411117553713
C#C[C@]12CC=C[C@@]1(O)C2,6.261340141296387
N#C[C@H]1O[C@H]2CO[C@@H]1C2,7.646399021148682
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,8.111714363098145
COC(=O)[C@H](C#N)CN,6.664068222045898
C[C@H]1C=C[C@H]2C34OC23[C@H]14,6.476309776306152
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,8.174300193786621
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,8.283145904541016
C#C[C@@H]1COC([NH-])[C@H]1O,7.526669502258301
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,7.445035457611084
CCN1C(=O)[C@]2(C)C[C@H]12,6.729375839233398
Oc1cc(N2CC2)n[nH]1,6.830057621002197
O=C1Cn2cncc2O1,5.406902313232422
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,8.710365295410156
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,5.7361602783203125
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,8.098108291625977
C[C@]12CNC1=CC(=O)N2,5.755208015441895
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,8.525327682495117
C#C[C@@]12OC[C@@H]1C[C@@H]2C,7.221901416778564
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,7.907628536224365
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,8.29403018951416
C[N@H+]1CC(=O)[C@H]2C[C@]21C,5.562007427215576
NC(=O)[C@H]1CC12COC2,7.148430824279785
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,6.48447322845459
[NH-]c1cc(F)[nH+]cc1N,4.963356971740723
COC[C@@H](C)[C@H]1CCO1,8.922613143920898
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,5.447719573974609
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,8.204232215881348
CC#C[C@@H](C)C1CC1,8.196069717407227
C[C@]1(CO)C=CC(=O)O1,6.092629432678223
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,8.345731735229492
C#CC(=O)[C@@H](C)CC=O,5.088529109954834
O[C@H]1CC=C2CCO[C@H]21,6.791961669921875
O=C1CCc2ocnc21,5.67901611328125
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,7.25727653503418
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,5.575613021850586
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,7.488573551177978
N#C[C@H](O)c1ccco1,6.130725383758545
O=CNC1=CCC[C@@H]1O,5.842284679412842
COCCCCCO,8.979757308959961
CCNC1=C(C)[CH-]CO1,5.7198333740234375
C[CH+]1C=CC([NH-])OC1O,4.451782703399658
O=C1C(=O)[C@H]2CC[C@@H]1N2,3.6463258266448975
NC(=O)[C@H]1O[C@H]1C1CC1,7.053191184997559
C#CCc1c[nH]nc1C,7.09945011138916
N#CC(=O)c1nc[nH]n1,5.385133266448975
C[C@H]1N[C@]2(C[C@H]2O)C1=O,5.733438968658447
CCC1(C)C23CC12O3,8.680432319641113
COCCn1cnnc1,7.240949630737305
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,6.228686332702637
O=C[C@]12C=C[C@H](C1)[C@@H]2O,5.75792932510376
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,5.864053726196289
CC[C@@](C)(OC)C(C)C,8.694037437438965
O=C1OCCC=C1CO,6.051812171936035
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,7.023258686065674
CC[C@H]1C[C@]1(O)CCO,8.64233684539795
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,7.730754375457764
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,7.880417823791504
C[C@]12CC(=O)[C@@]1(C#N)N2,6.030043125152588
[NH-]C1=C[CH-][C@@H](O)CCO1,5.744323253631592
C[NH2+][C@@H](C)OC(C)=O,7.025979518890381
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,6.010994911193848
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,8.103550910949707
CC[C@@H](C)[C@@H](CC)OC,8.77567195892334
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,5.825957775115967
O=CCc1ccncn1,5.444998264312744
CC[C@H]1C[C@@H](CO)CO1,8.800162315368652
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,6.397397041320801
CC(=O)NCC[C@H]1CO1,7.523947715759277
N#C[C@@H]1C[C@@H](O)C[C@H]1O,8.32124137878418
CNC(=O)COC(C)C,7.624630451202393
C[C@H]1C[C@]12C=CCCC2,6.7974042892456055
N#CC1(O)CCCC1,8.669547080993652
CC[C@]12[C@@H](O)[C@@H]3C14OC342,8.13348388671875
O[C@H]1[C@@H]2CC=C[C@H]1CC2,7.001489162445068
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,6.133446216583252
CCOC(=O)NC,8.593356132507324
CCC(=O)[C@H]1OC[C@H]1O,5.913033962249756
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,6.495357990264893
CCc1conc1CC,6.661347389221191
CC#CC(=O)OCCO,6.340252876281738
C[C@]12CO[C@H]1[C@@H](CO)N2,7.567486763000488
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,7.542996406555176
CC1(C)CCOCO1,9.153910636901855
O=C1OC[C@@H]1NCCO,6.639578342437744
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,6.688558578491211
C#C[C@H](C)[C@H]1COC1=O,7.382448673248291
COCCC1(CO)CC1,8.821931838989258
