smiles,epsilon_HOMO
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,-6.08174467086792
CC(C)C1=CCC(=O)C1,-6.481751918792725
C[C@]12CCC[C@H](C1)C2,-7.390612602233887
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,-5.845005512237549
C#CC1(CO)CCCC1,-7.012373924255371
N=CN1C(=O)NCC1[NH-],-6.952508926391602
N=C(NC=O)[C@H](O)CO,-6.87359619140625
CC(=O)[C@H]1C[C@H]1CC#N,-7.085844993591309
C[C@H]1C[C@]1(C)CCO,-6.982441425323486
C#C[C@@H]1C[C@@H]1CC,-6.525290489196777
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,-6.016437530517578
O=C1CCC1,-6.571549892425537
CCCC[C@]12C[C@H]1CO2,-6.2096381187438965
C#C[C@@H]1OC[C@@H]1OCC,-6.843663692474365
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,-6.658626079559326
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,-5.932082176208496
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,-5.986505031585693
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,-6.103513717651367
CC[C@H]1O[C@H]1C(C)=O,-6.721211910247803
Cc1nc2cocc2o1,-5.872217178344727
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,-5.444998264312744
CCCCC(=O)C=O,-6.7320966720581055
C#CC[C@H](C)C[C@H]1CO1,-7.074960231781006
C[C@]12N[C@H]1C(=O)C[C@H]2O,-6.479031085968018
CO[C@H]1OC[C@@H](C)[C@H]1C,-6.925297737121582
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,-6.957951068878174
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,-6.492636680603027
CN1C[C@H]2C[C@H](C2)C1=O,-6.351137638092041
N#C[C@@]12C=CCC[N@@H+]1C2,-6.702164173126221
C#CC[C@]1(O)C[C@H]2O[C@H]21,-6.88720178604126
c1cc([C@H]2CO2)[nH]n1,-6.454540729522705
[NH-][CH+]O[C@]1(CO)C[C@H]1O,-6.8844804763793945
COC[C@@H](C)[C@H]1C[C@H]1C,-6.789240837097168
CC(=O)[C@H]1CO[C@H](C)O1,-6.579712867736816
CO[C@@H](C)[C@H]1C[C@@H](C)O1,-6.547059535980225
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,-6.353858470916748
C[C@@]1(C#N)OC[C@@]12CO2,-7.7579665184021
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,-6.615087985992432
C[C@H]1CC[C@@]12O[C@H]2CO,-7.0150957107543945
C#CC[C@@H]1CC[C@@H]1C=O,-6.756587028503418
C#CCC[N@H+](C)CC=O,-6.323925971984863
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,-6.699442863464356
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,-6.525290489196777
C#C[C@@H](C=O)OC1CC1,-6.949788093566895
C#Cc1cc(C)c(C)o1,-5.537517070770264
Cc1ccc(N2CC2)o1,-5.439556121826172
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,-5.681737422943115
C[C@@H]1C[C@]1(C)[C@@H](C)CO,-6.974278450012207
C#C[C@H](OC)C(=O)CC,-6.48447322845459
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,-6.90625
CC[C@@H](O)CC(=O)NC,-6.364743232727051
C#CC(=O)[C@@H](C)[NH+](C)C,-5.858611106872559
CC(C)[C@@H](C=O)C(N)=O,-6.922576904296875
Cc1cnc(NC=O)[nH]1,-5.507584571838379
CC(=O)C[C@@]1(C)C[N@@H+]1C,-6.06813907623291
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,-6.4273295402526855
C#C[C@H](C)[C@H]1O[C@H]1CO,-7.19196891784668
C[C@H]1CO[C@H](C(N)=O)C1,-6.266781806945801
O[C@@H]1/C=C\C=C/C/C=C\1,-6.440935134887695
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,-6.337531566619873
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,-6.90625
CC(C)C1=CC[C@H]2N[C@@H]12,-6.084465980529785
N#C[C@@H]1C[C@@]1(N)C#N,-7.894023418426514
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,-6.868154048919678
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,-6.775634765625
Cc1ccc(O)c(O)n1,-5.73888111114502
OCC[NH+]1CC2(CO2)C1,-6.00283145904541
O=CC[C@@]12C[C@@H](N1)C2=O,-6.938903331756592
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,-6.364743232727051
c1ncn(C[C@H]2CN2)n1,-7.132104396820068
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,-6.639578342437744
C1OC[C@]23O[C@H]2C[C@@H]3O1,-6.8409423828125
C#C[C@]12CC=C[C@@]1(O)C2,-6.103513717651367
N#C[C@H]1O[C@H]2CO[C@@H]1C2,-7.251834392547607
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,-6.196032524108887
COC(=O)[C@H](C#N)CN,-6.908970832824707
C[C@H]1C=C[C@H]2C34OC23[C@H]14,-6.304878234863281
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-6.389233112335205
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,-6.02187967300415
C#C[C@@H]1COC([NH-])[C@H]1O,-7.276324272155762
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,-5.981062412261963
CCN1C(=O)[C@]2(C)C[C@H]12,-6.171542167663574
Oc1cc(N2CC2)n[nH]1,-5.575613021850586
O=C1Cn2cncc2O1,-6.269503116607666
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,-6.2749457359313965
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,-6.514405727386475
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,-6.5633864402771
C[C@]12CNC1=CC(=O)N2,-6.1579365730285645
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,-6.364743232727051
C#C[C@@]12OC[C@@H]1C[C@@H]2C,-6.672231674194336
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,-6.00283145904541
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,-6.713048934936523
C[N@H+]1CC(=O)[C@H]2C[C@]21C,-5.891264915466309
NC(=O)[C@H]1CC12COC2,-6.53073263168335
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,-5.831399917602539
[NH-]c1cc(F)[nH+]cc1N,-4.90621280670166
COC[C@@H](C)[C@H]1CCO1,-6.639578342437744
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,-6.269503116607666
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,-6.383790969848633
CC#C[C@@H](C)C1CC1,-6.508963584899902
C[C@]1(CO)C=CC(=O)O1,-7.447756290435791
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,-6.389233112335205
C#CC(=O)[C@@H](C)CC=O,-6.952508926391602
O[C@H]1CC=C2CCO[C@H]21,-6.372906684875488
O=C1CCc2ocnc21,-6.677673816680908
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,-6.574271202087402
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,-6.473588943481445
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,-7.205575466156006
N#C[C@H](O)c1ccco1,-6.683116436004639
O=CNC1=CCC[C@@H]1O,-5.986505031585693
COCCCCCO,-6.816452026367188
CCNC1=C(C)[CH-]CO1,-6.23957109451294
C[CH+]1C=CC([NH-])OC1O,-5.35520076751709
O=C1C(=O)[C@H]2CC[C@@H]1N2,-5.915755271911621
NC(=O)[C@H]1O[C@H]1C1CC1,-6.82189416885376
C#CCc1c[nH]nc1C,-6.421886920928955
N#CC(=O)c1nc[nH]n1,-8.152531623840332
C[C@H]1N[C@]2(C[C@H]2O)C1=O,-6.479031085968018
CCC1(C)C23CC12O3,-6.3620219230651855
COCCn1cnnc1,-6.7974042892456055
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,-5.904870510101318
O=C[C@]12C=C[C@H](C1)[C@@H]2O,-6.590597629547119
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,-7.32802677154541
CC[C@@](C)(OC)C(C)C,-6.664068222045898
