smiles,H
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,-9923.35546875
CC(C)C1=CCC(=O)C1,-10534.240234375
C[C@]12CCC[C@H](C1)C2,-8519.173828125
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,-10023.5234375
C#CC1(CO)CCCC1,-10532.4365234375
N=CN1C(=O)NCC1[NH-],-12249.7216796875
N=C(NC=O)[C@H](O)CO,-13396.03515625
CC(=O)[C@H]1C[C@H]1CC#N,-10938.11328125
C[C@H]1C[C@]1(C)CCO,-9528.9794921875
C#C[C@@H]1C[C@@H]1CC,-7416.052734375
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,-12520.330078125
O=C1CCC1,-6289.90771484375
CCCC[C@]12C[C@H]1CO2,-10564.748046875
C#C[C@@H]1OC[C@@H]1OCC,-11508.94140625
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,-11374.0615234375
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,-10967.9228515625
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,-11509.7763671875
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,-9924.353515625
CC[C@H]1O[C@H]1C(C)=O,-10474.5810546875
Cc1nc2cocc2o1,-11883.498046875
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,-10465.796875
CCCCC(=O)C=O,-10475.0732421875
C#CC[C@H](C)C[C@H]1CO1,-10531.56640625
C[C@]12N[C@H]1C(=O)C[C@H]2O,-11948.0810546875
CO[C@H]1OC[C@@H](C)[C@H]1C,-11576.4794921875
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,-11980.1748046875
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,-9957.33984375
CN1C[C@H]2C[C@H](C2)C1=O,-10970.97265625
N#C[C@@]12C=CCC[N@@H+]1C2,-10363.5615234375
C#CC[C@]1(O)C[C@H]2O[C@H]21,-11476.009765625
c1cc([C@H]2CO2)[nH]n1,-10305.18359375
[NH-][CH+]O[C@]1(CO)C[C@H]1O,-12957.3515625
COC[C@@H](C)[C@H]1C[C@H]1C,-10597.8251953125
CC(=O)[C@H]1CO[C@H](C)O1,-12522.041015625
CO[C@@H](C)[C@H]1C[C@@H](C)O1,-11575.677734375
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,-10935.2548828125
C[C@@]1(C#N)OC[C@@]12CO2,-11914.2578125
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,-11340.7109375
C[C@H]1CC[C@@]12O[C@H]2CO,-11542.689453125
C#CC[C@@H]1CC[C@@H]1C=O,-10499.341796875
C#CCC[N@H+](C)CC=O,-10968.681640625
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,-10564.763671875
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,-11843.61328125
C#C[C@@H](C=O)OC1CC1,-11476.43359375
C#Cc1cc(C)c(C)o1,-10468.1201171875
Cc1ccc(N2CC2)o1,-10937.4404296875
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,-10497.6650390625
C[C@@H]1C[C@]1(C)[C@@H](C)CO,-10598.02734375
C#C[C@H](OC)C(=O)CC,-11509.9365234375
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,-11913.5888671875
CC[C@@H](O)CC(=O)NC,-12014.244140625
C#CC(=O)[C@@H](C)[NH+](C)C,-10968.8427734375
CC(C)[C@@H](C=O)C(N)=O,-11981.9013671875
Cc1cnc(NC=O)[nH]1,-11813.5166015625
CC(=O)C[C@@]1(C)C[N@@H+]1C,-11002.4833984375
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,-11509.2705078125
C#C[C@H](C)[C@H]1O[C@H]1CO,-11509.1708984375
C[C@H]1CO[C@H](C(N)=O)C1,-11981.876953125
O[C@@H]1/C=C\C=C/C/C=C\1,-10500.169921875
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,-10936.7548828125
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,-9554.140625
CC(C)C1=CC[C@H]2N[C@@H]12,-9991.884765625
N#C[C@@H]1C[C@@]1(N)C#N,-9731.875
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,-11915.6767578125
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,-13498.6220703125
Cc1ccc(O)c(O)n1,-11917.4677734375
OCC[NH+]1CC2(CO2)C1,-11978.755859375
O=CC[C@@]12C[C@@H](N1)C2=O,-11913.74609375
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,-10832.69140625
c1ncn(C[C@H]2CN2)n1,-11270.1083984375
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,-10800.337890625
C1OC[C@]23O[C@H]2C[C@@H]3O1,-12487.5078125
C#C[C@]12CC=C[C@@]1(O)C2,-10466.6484375
N#C[C@H]1O[C@H]2CO[C@@H]1C2,-11915.419921875
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,-11403.931640625
COC(=O)[C@H](C#N)CN,-12385.7216796875
C[C@H]1C=C[C@H]2C34OC23[C@H]14,-10498.904296875
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10406.7412109375
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,-10532.421875
