smiles,R^2
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,1076.4276123046875
CC(C)C1=CCC(=O)C1,1427.2916259765625
C[C@]12CCC[C@H](C1)C2,911.214599609375
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,1407.9781494140625
C#CC1(CO)CCCC1,1206.4747314453125
N=CN1C(=O)NCC1[NH-],1076.4857177734375
N=C(NC=O)[C@H](O)CO,1454.0496826171875
CC(=O)[C@H]1C[C@H]1CC#N,1468.473388671875
C[C@H]1C[C@]1(C)CCO,1338.9071044921875
C#C[C@@H]1C[C@@H]1CC,913.9467163085938
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,1065.8311767578125
O=C1CCC1,379.6370849609375
CCCC[C@]12C[C@H]1CO2,1792.729248046875
C#C[C@@H]1OC[C@@H]1OCC,1412.72265625
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,1030.1395263671875
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,1313.3316650390625
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,1036.5091552734375
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,891.3397827148438
CC[C@H]1O[C@H]1C(C)=O,1120.2216796875
Cc1nc2cocc2o1,1068.4017333984375
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,914.9932861328124
CCCCC(=O)C=O,1636.0762939453125
C#CC[C@H](C)C[C@H]1CO1,1758.07421875
C[C@]12N[C@H]1C(=O)C[C@H]2O,1091.8621826171875
CO[C@H]1OC[C@@H](C)[C@H]1C,1213.8048095703125
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,1605.2935791015625
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,1279.1812744140625
CN1C[C@H]2C[C@H](C2)C1=O,1052.7918701171875
N#C[C@@]12C=CCC[N@@H+]1C2,1061.9036865234375
C#CC[C@]1(O)C[C@H]2O[C@H]21,1173.4554443359375
c1cc([C@H]2CO2)[nH]n1,910.9277954101562
[NH-][CH+]O[C@]1(CO)C[C@H]1O,1229.403076171875
COC[C@@H](C)[C@H]1C[C@H]1C,1764.5987548828125
CC(=O)[C@H]1CO[C@H](C)O1,1295.322265625
CO[C@@H](C)[C@H]1C[C@@H](C)O1,1541.923828125
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,1106.822021484375
C[C@@]1(C#N)OC[C@@]12CO2,1026.71875
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,1153.4130859375
C[C@H]1CC[C@@]12O[C@H]2CO,1362.337158203125
C#CC[C@@H]1CC[C@@H]1C=O,1352.4791259765625
C#CCC[N@H+](C)CC=O,1950.8924560546875
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,1350.9473876953125
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,1391.1131591796875
C#C[C@@H](C=O)OC1CC1,1404.232666015625
C#Cc1cc(C)c(C)o1,1337.0208740234375
Cc1ccc(N2CC2)o1,1251.80322265625
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,1152.551513671875
C[C@@H]1C[C@]1(C)[C@@H](C)CO,1413.763671875
C#C[C@H](OC)C(=O)CC,1349.973876953125
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,1044.018798828125
CC[C@@H](O)CC(=O)NC,1738.09912109375
C#CC(=O)[C@@H](C)[NH+](C)C,1284.261962890625
CC(C)[C@@H](C=O)C(N)=O,1310.0712890625
