smiles,U
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,-9923.3818359375
CC(C)C1=CCC(=O)C1,-10534.265625
C[C@]12CCC[C@H](C1)C2,-8519.19921875
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,-10023.548828125
C#CC1(CO)CCCC1,-10532.4619140625
N=CN1C(=O)NCC1[NH-],-12249.7470703125
N=C(NC=O)[C@H](O)CO,-13396.0615234375
CC(=O)[C@H]1C[C@H]1CC#N,-10938.1396484375
C[C@H]1C[C@]1(C)CCO,-9529.0048828125
C#C[C@@H]1C[C@@H]1CC,-7416.078125
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,-12520.3544921875
O=C1CCC1,-6289.93359375
CCCC[C@]12C[C@H]1CO2,-10564.7744140625
C#C[C@@H]1OC[C@@H]1OCC,-11508.966796875
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,-11374.0869140625
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,-10967.94921875
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,-11509.802734375
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,-9924.3798828125
CC[C@H]1O[C@H]1C(C)=O,-10474.6064453125
Cc1nc2cocc2o1,-11883.5234375
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,-10465.8232421875
CCCCC(=O)C=O,-10475.0986328125
C#CC[C@H](C)C[C@H]1CO1,-10531.591796875
C[C@]12N[C@H]1C(=O)C[C@H]2O,-11948.1064453125
CO[C@H]1OC[C@@H](C)[C@H]1C,-11576.505859375
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,-11980.2001953125
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,-9957.3662109375
CN1C[C@H]2C[C@H](C2)C1=O,-10970.998046875
N#C[C@@]12C=CCC[N@@H+]1C2,-10363.587890625
C#CC[C@]1(O)C[C@H]2O[C@H]21,-11476.0361328125
c1cc([C@H]2CO2)[nH]n1,-10305.2099609375
[NH-][CH+]O[C@]1(CO)C[C@H]1O,-12957.376953125
COC[C@@H](C)[C@H]1C[C@H]1C,-10597.8505859375
CC(=O)[C@H]1CO[C@H](C)O1,-12522.0673828125
CO[C@@H](C)[C@H]1C[C@@H](C)O1,-11575.703125
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,-10935.28125
C[C@@]1(C#N)OC[C@@]12CO2,-11914.283203125
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,-11340.7373046875
C[C@H]1CC[C@@]12O[C@H]2CO,-11542.7158203125
C#CC[C@@H]1CC[C@@H]1C=O,-10499.3671875
C#CCC[N@H+](C)CC=O,-10968.70703125
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,-10564.7900390625
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,-11843.6396484375
C#C[C@@H](C=O)OC1CC1,-11476.458984375
C#Cc1cc(C)c(C)o1,-10468.1455078125
Cc1ccc(N2CC2)o1,-10937.4658203125
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,-10497.6904296875
C[C@@H]1C[C@]1(C)[C@@H](C)CO,-10598.0537109375
C#C[C@H](OC)C(=O)CC,-11509.9619140625
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,-11913.6142578125
CC[C@@H](O)CC(=O)NC,-12014.26953125
C#CC(=O)[C@@H](C)[NH+](C)C,-10968.8681640625
CC(C)[C@@H](C=O)C(N)=O,-11981.9267578125
Cc1cnc(NC=O)[nH]1,-11813.5419921875
CC(=O)C[C@@]1(C)C[N@@H+]1C,-11002.509765625
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,-11509.2958984375
C#C[C@H](C)[C@H]1O[C@H]1CO,-11509.197265625
C[C@H]1CO[C@H](C(N)=O)C1,-11981.90234375
O[C@@H]1/C=C\C=C/C/C=C\1,-10500.1962890625
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,-10936.7802734375
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,-9554.166015625
CC(C)C1=CC[C@H]2N[C@@H]12,-9991.9111328125
N#C[C@@H]1C[C@@]1(N)C#N,-9731.9013671875
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,-11915.703125
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,-13498.6474609375
Cc1ccc(O)c(O)n1,-11917.4931640625
OCC[NH+]1CC2(CO2)C1,-11978.7822265625
O=CC[C@@]12C[C@@H](N1)C2=O,-11913.7724609375
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,-10832.7177734375
c1ncn(C[C@H]2CN2)n1,-11270.1337890625
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,-10800.3642578125
C1OC[C@]23O[C@H]2C[C@@H]3O1,-12487.533203125
C#C[C@]12CC=C[C@@]1(O)C2,-10466.673828125
N#C[C@H]1O[C@H]2CO[C@@H]1C2,-11915.4453125
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,-11403.95703125
COC(=O)[C@H](C#N)CN,-12385.748046875
C[C@H]1C=C[C@H]2C34OC23[C@H]14,-10498.9306640625
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10406.767578125
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,-10532.4482421875
C#C[C@@H]1COC([NH-])[C@H]1O,-11914.7021484375
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,-11911.4599609375
CCN1C(=O)[C@]2(C)C[C@H]12,-10970.0546875
Oc1cc(N2CC2)n[nH]1,-11810.87890625
O=C1Cn2cncc2O1,-12321.2509765625
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,-9991.50390625
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,-11510.5908203125
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,-9899.2294921875
C[C@]12CNC1=CC(=O)N2,-11374.6328125
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,-9990.373046875
C#C[C@@]12OC[C@@H]1C[C@@H]2C,-10498.62890625
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,-12486.2255859375
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,-9899.3291015625
C[N@H+]1CC(=O)[C@H]2C[C@]21C,-10970.23828125
NC(=O)[C@H]1CC12COC2,-11947.8017578125
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,-10362.5615234375
[NH-]c1cc(F)[nH+]cc1N,-12466.1015625
COC[C@@H](C)[C@H]1CCO1,-11575.3955078125
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,-11946.873046875
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,-11543.1982421875
CC#C[C@@H](C)C1CC1,-8485.298828125
C[C@]1(CO)C=CC(=O)O1,-12490.1806640625
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,-11371.359375
C#CC(=O)[C@@H](C)CC=O,-11477.90234375
O[C@H]1CC=C2CCO[C@H]21,-11510.9921875
O=C1CCc2ocnc21,-11884.1455078125
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,-10936.392578125
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,-10969.3681640625
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,-11510.845703125
N#C[C@H](O)c1ccco1,-11883.333984375
O=CNC1=CCC[C@@H]1O,-11949.0498046875
COCCCCCO,-10539.4306640625
CCNC1=C(C)[CH-]CO1,-10970.9501953125
C[CH+]1C=CC([NH-])OC1O,-11916.5400390625
O=C1C(=O)[C@H]2CC[C@@H]1N2,-11916.0107421875
NC(=O)[C@H]1O[C@H]1C1CC1,-11947.7333984375
C#CCc1c[nH]nc1C,-10363.63671875
N#CC(=O)c1nc[nH]n1,-12183.9921875
C[C@H]1N[C@]2(C[C@H]2O)C1=O,-11947.2587890625
CCC1(C)C23CC12O3,-9494.8125
COCCn1cnnc1,-11843.865234375
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,-10867.462890625
O=C[C@]12C=C[C@H](C1)[C@@H]2O,-11477.37890625
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,-12456.611328125
CC[C@@](C)(OC)C(C)C,-10631.025390625
O=C1OCCC=C1CO,-12489.9033203125
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,-11372.74609375
