row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.44144058227539,96,0.6441428661346436,0.3558571934700012,,,
run,2,84,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,17.93303108215332,98,0.6364062428474426,0.36359381675720215,,,
run,3,126,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.393442153930664,98,0.6394526958465576,0.36054727435112,,,
run,4,168,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,17.92357063293457,98,0.630215585231781,0.3697844445705414,,,
run,5,210,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.766658782958984,94,0.6302023530006409,0.3697977066040039,,,
run,6,252,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.330963134765625,96,0.638322114944458,0.36167794466018677,,,
run,7,294,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.59225845336914,91,0.6507026553153992,0.34929734468460083,,,
run,8,336,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.328598022460938,91,0.6333739161491394,0.366626113653183,,,
run,9,378,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,19.368824005126953,93,0.6303128600120544,0.36968716979026794,,,
run,10,420,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,18.101547241210938,99,0.6283631324768066,0.37163686752319336,,,
summary,,,qm9,R^2,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,18.418033409118653,0.42850042267670313
