row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.800065279006958,77,0.580665647983551,0.419334352016449,,,
run,2,84,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.8327934741973877,89,0.5736191868782043,0.42638078331947327,,,
run,3,126,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.180312156677246,93,0.569256067276001,0.430743932723999,,,
run,4,168,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,4.35964298248291,53,0.569709300994873,0.43029066920280457,,,
run,5,210,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.4984993934631348,88,0.5758337378501892,0.424166202545166,,,
run,6,252,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,4.242318153381348,68,0.5710735321044922,0.4289264678955078,,,
run,7,294,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.8184163570404053,86,0.5690217018127441,0.4309782385826111,,,
run,8,336,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.9368698596954346,84,0.57746821641922,0.42253178358078003,,,
run,9,378,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.406913995742798,89,0.5709963440895081,0.42900359630584717,,,
run,10,420,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,3.3857436180114746,78,0.574613094329834,0.425386905670166,,,
summary,,,qm9,U_0,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,3.7461575269699097,0.3802110569158023
