row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.207511901855469,92,0.5782778263092041,0.4217222034931183,,,
run,2,84,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.723340034484863,81,0.5781003832817078,0.4218996465206146,,,
run,3,126,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.261223793029785,56,0.5800457000732422,0.4199542701244354,,,
run,4,168,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.27221155166626,85,0.5725917816162109,0.4274081885814667,,,
run,5,210,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,3.8045029640197754,97,0.5766339898109436,0.4233660399913788,,,
run,6,252,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.562595844268799,83,0.5799626708030701,0.42003732919692993,,,
run,7,294,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,3.238091230392456,87,0.5733934640884399,0.4266064763069153,,,
run,8,336,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,3.9856338500976562,97,0.5729039907455444,0.4270959794521332,,,
run,9,378,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.423923969268799,91,0.5807565450668335,0.4192434549331665,,,
run,10,420,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,4.830098628997803,76,0.5734447836875916,0.42655524611473083,,,
summary,,,qm9,U,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,4.230913376808166,0.46899762117784227
