row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.020389458164572716,97,0.4234396517276764,0.5765603184700012,,,
run,2,84,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.01952790655195713,94,0.4403877258300781,0.5596122741699219,,,
run,3,126,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.020539212971925735,81,0.41994190216064453,0.5800580978393555,,,
run,4,168,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.020467529073357582,96,0.45524054765701294,0.5447594523429871,,,
run,5,210,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.02174055576324463,81,0.425038605928421,0.5749613642692566,,,
run,6,252,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.021612057462334633,88,0.43223288655281067,0.5677670836448669,,,
run,7,294,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.021026888862252235,48,0.40159907937049866,0.5984009504318237,,,
run,8,336,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.019227134063839912,99,0.43478792905807495,0.565212070941925,,,
run,9,378,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.02084805816411972,76,0.41929519176483154,0.5807048678398132,,,
run,10,420,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,0.02092193253338337,99,0.48376238346099854,0.5162376761436462,,,
summary,,,qm9,ZPVE,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,0.020630073361098768,0.0008002227404409857
