row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3043685555458069,98,0.7164343595504761,0.2835656404495239,,,
run,2,84,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3190838694572449,94,0.5522992014884949,0.4477007985115051,,,
run,3,126,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3192525804042816,84,0.6843677759170532,0.3156322240829468,,,
run,4,168,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.2989668548107147,99,0.7157158851623535,0.2842840850353241,,,
run,5,210,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.30501872301101685,99,0.7012451887130737,0.2987547516822815,,,
run,6,252,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.31483396887779236,98,0.7254895567893982,0.2745104432106018,,,
run,7,294,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.2896570861339569,97,0.7384343147277832,0.2615656852722168,,,
run,8,336,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3162623643875122,95,0.7125581502914429,0.28744184970855713,,,
run,9,378,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3177116811275482,92,0.7163329124450684,0.28366711735725403,,,
run,10,420,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,0.30997803807258606,87,0.6986369490623474,0.3013630211353302,,,
summary,,,qm9,alpha,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,0.3095133721828461,0.009887728407324462
