row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.14370355010032654,80,0.725807785987854,0.2741921544075012,,,
run,2,84,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.1336311399936676,98,0.7542529106140137,0.24574711918830872,,,
run,3,126,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.13896416127681732,92,0.7463968992233276,0.25360310077667236,,,
run,4,168,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.1432792693376541,91,0.7447669506072998,0.2552330493927002,,,
run,5,210,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.14269126951694489,96,0.7559639811515808,0.2440360188484192,,,
run,6,252,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.14361067116260529,86,0.7414628267288208,0.2585372030735016,,,
run,7,294,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.13628903031349182,99,0.7487330436706543,0.2512669563293457,,,
run,8,336,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.14253085851669312,88,0.7322890162467957,0.26771092414855957,,,
run,9,378,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.13647012412548065,92,0.741837203502655,0.25816279649734497,,,
run,10,420,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,0.14316460490226746,96,0.7463799118995667,0.25362008810043335,,,
summary,,,qm9,c_v,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,0.14043346792459488,0.0037588037774841506
