row_type,run,seed,dataset,target,model_type,llm_model,feature_mode,knowledge_type,num_samples,drop_ratio,metric,value,best_epoch,graph_weight,llm_weight,runs,avg,std
run,1,42,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.4037596881389618,89,0.8290674686431885,0.1709325909614563,,,
run,2,84,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.4028937816619873,88,0.8360952734947205,0.16390472650527954,,,
run,3,126,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.39656081795692444,97,0.8429298996925354,0.157070130109787,,,
run,4,168,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.4050964117050171,88,0.8268917798995972,0.17310823500156403,,,
run,5,210,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3991183936595917,89,0.8284233212471008,0.17157667875289917,,,
run,6,252,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.40346643328666687,89,0.8315672874450684,0.16843274235725403,,,
run,7,294,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3995838165283203,97,0.8399945497512817,0.16000546514987946,,,
run,8,336,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.4039691984653473,92,0.8369666337966919,0.1630333811044693,,,
run,9,378,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3988780081272125,98,0.8408899307250977,0.15911003947257996,,,
run,10,420,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,0.3987683355808258,94,0.8471128940582275,0.15288712084293365,,,
summary,,,qm9,mu,gin,galactica-30b,unimrl,all,50,0.0,mae,,,,,10,0.4012094885110855,0.0029283857068226715
