smiles,G
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,-9924.4853515625
CC(C)C1=CCC(=O)C1,-10535.4814453125
C[C@]12CCC[C@H](C1)C2,-8520.2373046875
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,-10024.8037109375
C#CC1(CO)CCCC1,-10533.6591796875
N=CN1C(=O)NCC1[NH-],-12250.8759765625
N=C(NC=O)[C@H](O)CO,-13397.26953125
CC(=O)[C@H]1C[C@H]1CC#N,-10939.353515625
C[C@H]1C[C@]1(C)CCO,-9530.220703125
C#C[C@@H]1C[C@@H]1CC,-7417.1611328125
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,-12521.5087890625
O=C1CCC1,-6290.84814453125
CCCC[C@]12C[C@H]1CO2,-10565.9970703125
C#C[C@@H]1OC[C@@H]1OCC,-11510.21484375
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,-11375.1669921875
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,-10969.103515625
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,-11510.88671875
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,-9925.3583984375
CC[C@H]1O[C@H]1C(C)=O,-10475.7978515625
Cc1nc2cocc2o1,-11884.55859375
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,-10466.849609375
CCCCC(=O)C=O,-10476.3349609375
C#CC[C@H](C)C[C@H]1CO1,-10532.845703125
C[C@]12N[C@H]1C(=O)C[C@H]2O,-11949.2275390625
CO[C@H]1OC[C@@H](C)[C@H]1C,-11577.73828125
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,-11981.4287109375
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,-9958.533203125
CN1C[C@H]2C[C@H](C2)C1=O,-10972.091796875
N#C[C@@]12C=CCC[N@@H+]1C2,-10364.6640625
C#CC[C@]1(O)C[C@H]2O[C@H]21,-11477.16796875
c1cc([C@H]2CO2)[nH]n1,-10306.2294921875
[NH-][CH+]O[C@]1(CO)C[C@H]1O,-12958.5849609375
COC[C@@H](C)[C@H]1C[C@H]1C,-10599.1533203125
CC(=O)[C@H]1CO[C@H](C)O1,-12523.2900390625
CO[C@@H](C)[C@H]1C[C@@H](C)O1,-11576.982421875
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,-10936.373046875
C[C@@]1(C#N)OC[C@@]12CO2,-11915.419921875
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,-11341.853515625
C[C@H]1CC[C@@]12O[C@H]2CO,-11543.9267578125
C#CC[C@@H]1CC[C@@H]1C=O,-10500.5712890625
C#CCC[N@H+](C)CC=O,-10970.009765625
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,-10565.9814453125
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,-11844.8056640625
C#C[C@@H](C=O)OC1CC1,-11477.6953125
C#Cc1cc(C)c(C)o1,-10469.3271484375
Cc1ccc(N2CC2)o1,-10938.6044921875
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,-10498.7744140625
C[C@@H]1C[C@]1(C)[C@@H](C)CO,-10599.3330078125
C#C[C@H](OC)C(=O)CC,-11511.2744140625
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,-11914.75
CC[C@@H](O)CC(=O)NC,-12015.5810546875
C#CC(=O)[C@@H](C)[NH+](C)C,-10970.1640625
CC(C)[C@@H](C=O)C(N)=O,-11983.1767578125
Cc1cnc(NC=O)[nH]1,-11814.6630859375
CC(=O)C[C@@]1(C)C[N@@H+]1C,-11003.8037109375
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,-11510.37890625
C#C[C@H](C)[C@H]1O[C@H]1CO,-11510.4521484375
C[C@H]1CO[C@H](C(N)=O)C1,-11983.0986328125
O[C@@H]1/C=C\C=C/C/C=C\1,-10501.310546875
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,-10937.8447265625
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,-9555.435546875
CC(C)C1=CC[C@H]2N[C@@H]12,-9993.0712890625
N#C[C@@H]1C[C@@]1(N)C#N,-9732.9814453125
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,-11916.7197265625
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,-13499.8447265625
Cc1ccc(O)c(O)n1,-11918.6005859375
OCC[NH+]1CC2(CO2)C1,-11979.9794921875
O=CC[C@@]12C[C@@H](N1)C2=O,-11914.9169921875
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,-10833.83203125
c1ncn(C[C@H]2CN2)n1,-11271.244140625
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,-10801.4423828125
C1OC[C@]23O[C@H]2C[C@@H]3O1,-12488.5654296875
C#C[C@]12CC=C[C@@]1(O)C2,-10467.775390625
