smiles,U_0
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,-9923.60546875
CC(C)C1=CCC(=O)C1,-10534.5263671875
C[C@]12CCC[C@H](C1)C2,-8519.3984375
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,-10023.8330078125
C#CC1(CO)CCCC1,-10532.7197265625
N=CN1C(=O)NCC1[NH-],-12249.96875
N=C(NC=O)[C@H](O)CO,-13396.31640625
CC(=O)[C@H]1C[C@H]1CC#N,-10938.3955078125
C[C@H]1C[C@]1(C)CCO,-9529.27734375
C#C[C@@H]1C[C@@H]1CC,-7416.29248046875
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,-12520.609375
O=C1CCC1,-6290.06884765625
CCCC[C@]12C[C@H]1CO2,-10565.037109375
C#C[C@@H]1OC[C@@H]1OCC,-11509.234375
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,-11374.29296875
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,-10968.1806640625
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,-11510.0146484375
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,-9924.5439453125
CC[C@H]1O[C@H]1C(C)=O,-10474.8564453125
Cc1nc2cocc2o1,-11883.7080078125
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,-10466.0078125
CCCCC(=O)C=O,-10475.361328125
C#CC[C@H](C)C[C@H]1CO1,-10531.869140625
C[C@]12N[C@H]1C(=O)C[C@H]2O,-11948.333984375
CO[C@H]1OC[C@@H](C)[C@H]1C,-11576.7783203125
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,-11980.46484375
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,-9957.61328125
CN1C[C@H]2C[C@H](C2)C1=O,-10971.212890625
N#C[C@@]12C=CCC[N@@H+]1C2,-10363.79296875
C#CC[C@]1(O)C[C@H]2O[C@H]21,-11476.2685546875
c1cc([C@H]2CO2)[nH]n1,-10305.384765625
[NH-][CH+]O[C@]1(CO)C[C@H]1O,-12957.640625
COC[C@@H](C)[C@H]1C[C@H]1C,-10598.154296875
CC(=O)[C@H]1CO[C@H](C)O1,-12522.326171875
CO[C@@H](C)[C@H]1C[C@@H](C)O1,-11575.9912109375
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,-10935.49609375
C[C@@]1(C#N)OC[C@@]12CO2,-11914.515625
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,-11340.9541015625
C[C@H]1CC[C@@]12O[C@H]2CO,-11542.9755859375
C#CC[C@@H]1CC[C@@H]1C=O,-10499.6220703125
C#CCC[N@H+](C)CC=O,-10968.9990234375
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,-10565.0537109375
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,-11843.8720703125
C#C[C@@H](C=O)OC1CC1,-11476.7197265625
C#Cc1cc(C)c(C)o1,-10468.3974609375
Cc1ccc(N2CC2)o1,-10937.69140625
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,-10497.8974609375
C[C@@H]1C[C@]1(C)[C@@H](C)CO,-10598.3583984375
C#C[C@H](OC)C(=O)CC,-11510.2587890625
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,-11913.8408203125
CC[C@@H](O)CC(=O)NC,-12014.5712890625
C#CC(=O)[C@@H](C)[NH+](C)C,-10969.1640625
CC(C)[C@@H](C=O)C(N)=O,-11982.208984375
