smiles,alpha
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,82.94000244140625
CC(C)C1=CCC(=O)C1,85.41999816894531
C[C@]12CCC[C@H](C1)C2,80.88999938964844
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,90.5999984741211
C#CC1(CO)CCCC1,83.70999908447266
N=CN1C(=O)NCC1[NH-],70.94000244140625
N=C(NC=O)[C@H](O)CO,67.66000366210938
CC(=O)[C@H]1C[C@H]1CC#N,78.16999816894531
C[C@H]1C[C@]1(C)CCO,78.83000183105469
C#C[C@@H]1C[C@@H]1CC,70.9000015258789
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,71.48999786376953
O=C1CCC1,42.77000045776367
CCCC[C@]12C[C@H]1CO2,87.08000183105469
C#C[C@@H]1OC[C@@H]1OCC,78.30000305175781
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,71.80000305175781
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,80.9800033569336
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,73.98999786376953
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,79.62000274658203
CC[C@H]1O[C@H]1C(C)=O,68.83999633789062
Cc1nc2cocc2o1,70.95999908447266
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,78.7300033569336
CCCCC(=O)C=O,69.91000366210938
C#CC[C@H](C)C[C@H]1CO1,85.33999633789062
C[C@]12N[C@H]1C(=O)C[C@H]2O,71.87999725341797
CO[C@H]1OC[C@@H](C)[C@H]1C,81.41000366210938
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,78.97000122070312
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,88.16000366210938
CN1C[C@H]2C[C@H](C2)C1=O,79.56999969482422
N#C[C@@]12C=CCC[N@@H+]1C2,78.80000305175781
C#CC[C@]1(O)C[C@H]2O[C@H]21,73.27999877929688
c1cc([C@H]2CO2)[nH]n1,63.959999084472656
[NH-][CH+]O[C@]1(CO)C[C@H]1O,70.88999938964844
COC[C@@H](C)[C@H]1C[C@H]1C,90.58000183105467
CC(=O)[C@H]1CO[C@H](C)O1,72.2300033569336
CO[C@@H](C)[C@H]1C[C@@H](C)O1,82.9000015258789
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,77.3499984741211
C[C@@]1(C#N)OC[C@@]12CO2,69.0199966430664
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,72.73999786376953
C[C@H]1CC[C@@]12O[C@H]2CO,78.83000183105469
C#CC[C@@H]1CC[C@@H]1C=O,81.87999725341797
C#CCC[N@H+](C)CC=O,83.52999877929688
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,85.66000366210938
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,73.16000366210938
C#C[C@@H](C=O)OC1CC1,76.0
C#Cc1cc(C)c(C)o1,90.4800033569336
Cc1ccc(N2CC2)o1,81.87999725341797
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,78.80999755859375
C[C@@H]1C[C@]1(C)[C@@H](C)CO,88.95999908447266
C#C[C@H](OC)C(=O)CC,78.62999725341797
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,69.0199966430664
CC[C@@H](O)CC(=O)NC,80.62999725341797
C#CC(=O)[C@@H](C)[NH+](C)C,82.80999755859375
CC(C)[C@@H](C=O)C(N)=O,76.51000213623047
Cc1cnc(NC=O)[nH]1,76.48999786376953
CC(=O)C[C@@]1(C)C[N@@H+]1C,83.69000244140625
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,74.87000274658203
C#C[C@H](C)[C@H]1O[C@H]1CO,77.54000091552734
C[C@H]1CO[C@H](C(N)=O)C1,74.70999908447266
O[C@@H]1/C=C\C=C/C/C=C\1,84.08000183105469
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,75.4000015258789
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,91.7699966430664
CC(C)C1=CC[C@H]2N[C@@H]12,88.19000244140625
N#C[C@@H]1C[C@@]1(N)C#N,64.66000366210938
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,67.44000244140625
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,66.62000274658203
Cc1ccc(O)c(O)n1,76.41999816894531
OCC[NH+]1CC2(CO2)C1,76.94000244140625
O=CC[C@@]12C[C@@H](N1)C2=O,70.31999969482422
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,75.87999725341797
c1ncn(C[C@H]2CN2)n1,73.5
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,74.80999755859375
C1OC[C@]23O[C@H]2C[C@@H]3O1,67.58000183105469
C#C[C@]12CC=C[C@@]1(O)C2,80.5
N#C[C@H]1O[C@H]2CO[C@@H]1C2,67.70999908447266
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,76.54000091552734
COC(=O)[C@H](C#N)CN,69.80999755859375
C[C@H]1C=C[C@H]2C34OC23[C@H]14,79.58999633789062
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,58.880001068115234
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,81.27999877929688
C#C[C@@H]1COC([NH-])[C@H]1O,72.44999694824219
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,67.62000274658203
CCN1C(=O)[C@]2(C)C[C@H]12,80.66999816894531
Oc1cc(N2CC2)n[nH]1,72.33000183105469
O=C1Cn2cncc2O1,64.58000183105469
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,84.55000305175781
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,75.37000274658203
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,67.11000061035156
C[C@]12CNC1=CC(=O)N2,76.18000030517578
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,84.3499984741211
C#C[C@@]12OC[C@@H]1C[C@@H]2C,82.0999984741211
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,67.51000213623047
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,66.9000015258789
C[N@H+]1CC(=O)[C@H]2C[C@]21C,79.87999725341797
NC(=O)[C@H]1CC12COC2,73.33000183105469
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,81.80000305175781
[NH-]c1cc(F)[nH+]cc1N,75.16999816894531
COC[C@@H](C)[C@H]1CCO1,82.98999786376953
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,72.55000305175781
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,77.29000091552734
CC#C[C@@H](C)C1CC1,84.12000274658203
C[C@]1(CO)C=CC(=O)O1,70.83000183105469
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,71.3499984741211
C#CC(=O)[C@@H](C)CC=O,76.95999908447266
O[C@H]1CC=C2CCO[C@H]21,77.1500015258789
O=C1CCc2ocnc21,68.93000030517578
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,75.62000274658203
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,81.62999725341797
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,78.5999984741211
N#C[C@H](O)c1ccco1,68.70999908447266
O=CNC1=CCC[C@@H]1O,77.08000183105469
COCCCCCO,76.7699966430664
CCNC1=C(C)[CH-]CO1,87.69000244140625
C[CH+]1C=CC([NH-])OC1O,79.95999908447266
O=C1C(=O)[C@H]2CC[C@@H]1N2,69.08999633789062
NC(=O)[C@H]1O[C@H]1C1CC1,74.30000305175781
C#CCc1c[nH]nc1C,79.5199966430664
N#CC(=O)c1nc[nH]n1,64.02999877929688
C[C@H]1N[C@]2(C[C@H]2O)C1=O,74.6500015258789
CCC1(C)C23CC12O3,74.43000030517578
COCCn1cnnc1,73.66999816894531
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,72.9800033569336
O=C[C@]12C=C[C@H](C1)[C@@H]2O,73.79000091552734
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,65.58000183105469
CC[C@@](C)(OC)C(C)C,91.76000213623048
O=C1OCCC=C1CO,71.73999786376953
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,73.36000061035156
CC[C@H]1C[C@]1(O)CCO,82.95999908447266
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,70.76000213623047
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,71.83000183105469
C[C@]12CC(=O)[C@@]1(C#N)N2,72.70999908447266
