smiles,c_v
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,32.61100006103516
CC(C)C1=CCC(=O)C1,35.46900177001953
C[C@]12CCC[C@H](C1)C2,30.52199935913086
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,38.65999984741211
C#CC1(CO)CCCC1,35.858001708984375
N=CN1C(=O)NCC1[NH-],29.200000762939453
N=C(NC=O)[C@H](O)CO,33.54199981689453
CC(=O)[C@H]1C[C@H]1CC#N,33.5369987487793
C[C@H]1C[C@]1(C)CCO,36.42699813842773
C#C[C@@H]1C[C@@H]1CC,29.107999801635746
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,36.20899963378906
O=C1CCC1,17.076000213623047
CCCC[C@]12C[C@H]1CO2,35.96500015258789
C#C[C@@H]1OC[C@@H]1OCC,34.60100173950195
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,29.507999420166016
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,32.137001037597656
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,31.632999420166016
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,26.382999420166016
CC[C@H]1O[C@H]1C(C)=O,32.027000427246094
Cc1nc2cocc2o1,25.947999954223636
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,28.277000427246094
CCCCC(=O)C=O,32.42399978637695
C#CC[C@H](C)C[C@H]1CO1,37.13800048828125
C[C@]12N[C@H]1C(=O)C[C@H]2O,32.279998779296875
CO[C@H]1OC[C@@H](C)[C@H]1C,36.84600067138672
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,35.821998596191406
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,34.869998931884766
CN1C[C@H]2C[C@H](C2)C1=O,30.72100067138672
N#C[C@@]12C=CCC[N@@H+]1C2,29.32200050354004
C#CC[C@]1(O)C[C@H]2O[C@H]21,32.80500030517578
c1cc([C@H]2CO2)[nH]n1,23.827999114990234
[NH-][CH+]O[C@]1(CO)C[C@H]1O,35.17399978637695
COC[C@@H](C)[C@H]1C[C@H]1C,40.367000579833984
CC(=O)[C@H]1CO[C@H](C)O1,33.52299880981445
CO[C@@H](C)[C@H]1C[C@@H](C)O1,38.02299880981445
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,30.742000579833984
C[C@@]1(C#N)OC[C@@]12CO2,31.128999710083008
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,29.132999420166016
C[C@H]1CC[C@@]12O[C@H]2CO,35.44499969482422
C#CC[C@@H]1CC[C@@H]1C=O,34.09700012207031
C#CCC[N@H+](C)CC=O,37.34600067138672
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,37.573001861572266
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,32.119998931884766
C#C[C@@H](C=O)OC1CC1,33.7760009765625
C#Cc1cc(C)c(C)o1,33.553001403808594
Cc1ccc(N2CC2)o1,30.941999435424805
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,30.35700035095215
C[C@@H]1C[C@]1(C)[C@@H](C)CO,41.84299850463867
C#C[C@H](OC)C(=O)CC,37.5359992980957
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,29.87700080871582
CC[C@@H](O)CC(=O)NC,39.09400177001953
C#CC(=O)[C@@H](C)[NH+](C)C,38.492000579833984
CC(C)[C@@H](C=O)C(N)=O,37.56100082397461
Cc1cnc(NC=O)[nH]1,29.891000747680664
CC(=O)C[C@@]1(C)C[N@@H+]1C,38.77799987792969
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,30.46699905395508
